,_STATE,FMONTH,GENHLTH,PHYSHLTH,MENTHLTH,POORHLTH,MEDCOST1,CHECKUP1,SLEPTIM1,CVDINFR4,CVDCRHD4,CVDSTRK3,ASTHMA3,ASTHNOW,CHCCOPD3,ADDEPEV3,HAVARTH4,DIABETE4,MARITAL,RENTHOM1,EMPLOY1,PREGNANT,BLIND,DECIDE,DIFFWALK,LCSFIRST,LCSLAST,LCSNUMCG,LCSCTSC1,LCSSCNCR,LCSCTWHN,DRNK3GE5,MAXDRNKS,COVIDPOS,COVIDSMP,COVIDPRM,PDIABTS1,PREDIAB2,DIABTYPE,INSULIN1,CHKHEMO3,EYEEXAM1,FEETSORE,COVIDVA1,COVIDNU1,COVIDFS1,COVIDSE1,COPDCOGH,COPDFLEM,COPDBRTH,COPDBTST,COPDSMOK,CNCRDIFF,CNCRAGE,CNCRTYP2,CAREGIV1,CRGVHRS1,CRGVPRB3,SDHSTRE1,MARIJAN1,ASBIRDUC,QSTLANG,MSCODE,_RFHLTH,_PHYS14D,_MENT14D,_HLTHPLN,_TOTINDA,_MICHD,_ASTHMS1,_DRDXAR2,_RACEPR1,_SEX,_AGE_G,HTIN4,WTKG3,_BMI5,_BMI5CAT,_CHLDCNT,_EDUCAG,_INCOMG1,_SMOKER3,_SMOKGRP,_LCSREC,DROCDY4_,_RFDRHV8
_STATE,1.0,0.010609385225530751,0.007483740945066662,0.0052762126191116905,0.004136378945731698,-0.00046951827255841045,-0.0011906083498148833,-0.0016304672379220662,0.0006817446100923874,-0.006394298844341933,-0.003995903570699853,-0.0013752931245497033,-0.005721135727021196,-0.009984899571009771,0.0002761430702620099,-0.009854286736951977,-0.005083142218380006,-0.006635772848500753,-0.011853672423351301,-0.016102852126113846,-0.002524175825048935,-0.006008480278098963,-0.012186369794450806,-0.006025110313677521,-0.012047685200966343,0.003235262971446731,-0.0004771939049331408,-0.0009205673331939214,0.006392760416404733,0.002509218367662833,-0.005859296288924044,-0.00870224094453325,0.005182835626863916,-0.0061018513766648306,0.004647522380744544,0.012349488105417448,-0.017027307260383068,0.0023322438906597373,0.01314212636376899,0.009306602680090132,0.02771951592381121,-0.01137337146212749,-0.00045419573150500616,-0.020204891356354785,0.014595032291625084,0.08554588734444972,0.08661072261057311,,,,,,-0.011624563466028462,0.011710774294481878,-0.0028177351537991805,0.02022129398031939,-0.05783203397527278,0.012328938442548162,-0.019945440369145372,-0.021827145499821114,-0.0010793406592628334,0.1392964946853037,0.08780120975394916,0.006305364270816375,-0.00550213397275375,-0.006164306194111222,-0.00966448398604493,0.0004439057370528585,0.002613414234595689,-0.006271787329700604,-0.0055004492429132565,0.04986274470456907,0.005884886815603682,0.0042731439094089154,-0.011809569083132018,0.009024384558771116,0.016418878641510717,0.016013914325539412,-0.011125793893491777,-0.007773690847105956,-0.019622733892885894,-0.008170753676100468,0.01347915467072623,-0.002716156109776981,-0.019396166682316317,-0.017388666921121728
FMONTH,0.010609385225530751,1.0,0.009131973444014618,-0.004441702718737651,-0.002007342117355811,-0.0046521687262190215,-0.004636839875842358,-0.008038809935610623,-0.004306634635644165,0.0026485118950234005,-0.0003645817509075103,-7.115868405556763e-05,-0.002383531135460213,-0.005419246940318022,0.001425464404262988,-0.001616385046756695,0.004025628557308354,0.003463035459828721,0.007832074773096828,0.005621492029621636,0.003387616652617419,0.00840820737672946,-0.0011618722265866136,-0.004263112516167387,0.0005809014891706142,0.0015100853146991606,-0.006115261131872538,-0.005075751736361994,-0.005682766849369608,-0.005000086407666192,-0.011970641236186543,-0.011749017509604697,0.005329608479575668,-0.028834196796733366,-0.005911002068584996,0.15137603892385543,-0.012553955107152095,-0.01082710305081147,-0.01657821378526441,0.0019573390175726397,-0.015938348388434016,0.017184265424576333,-0.0056595634552014705,-0.009200554701691647,0.1517356168772558,0.14072213237179876,0.1384483905515795,0.0012893137752428533,0.0010812616068872512,0.004091958184553374,-0.011921101139900935,-0.02182897563649018,-0.03143170626337488,-0.00033059455155401185,0.017676534174882113,-0.004427867412828699,-0.021968844292263073,0.0053724092278812224,-0.005026749621807551,-0.003753856661340091,0.012139085511539733,0.02475829854788666,-0.024568065208050414,0.005687730398480862,0.016170243882163947,0.008261901467396148,0.0025185201198148015,-0.007843912239117607,3.788218598303983e-05,-0.0033180671705828877,0.003161421469784211,0.0171985055052201,-0.001598562348521129,2.5810691575211125e-05,0.0016464080306878908,-0.006001891452667027,-0.0058887569521701676,-0.0060888275898892084,0.0015066111309765507,0.009530019759458585,0.0031426025803711283,0.008065468941556428,0.003361000900856478,-0.012825915556573616,0.008794016403747634,0.007766644714053592
GENHLTH,0.007483740945066662,0.009131973444014618,1.0,0.50336499634649,0.31196815060353306,0.46120697175935166,-0.06197054975014666,-0.0308850735922548,-0.06379808985888173,-0.03008490578813659,-0.003902658342150533,-0.04256525996405023,-0.0688409810667855,-0.05839720995789977,-0.09998171297204303,-0.10335139188137307,-0.1663700242077682,-0.20961212425840042,0.054095744380886046,0.06912339519806056,0.2398302899637724,0.030171449064099316,-0.05891997035828148,-0.09580756858364942,-0.2483817045031743,-0.05044436187446438,0.20907693446407874,0.10773645077050031,-0.0656504480357986,0.009618972767335301,-0.11681861064040351,0.12291714467598794,0.030137211743879046,-0.007533755110531453,-0.03206434332673817,-0.10728238603096331,-0.0628770812721797,-0.10762476447171132,0.03231298850448339,-0.11088301395367703,0.048538662514692084,0.05502026363388894,-0.08745802322545414,-0.021842703476942317,-0.0015449867846274808,0.11076659042320197,0.11240267897324288,-0.09123046653672291,-0.08477621119840835,-0.21590088903540547,-0.08500415729326188,0.2160624480791429,0.04015965569715976,0.04529407218092083,-0.11413576732372062,0.00728804574042255,0.09106829807492821,-0.007838237833370721,-0.21113764454528652,0.10796510558988,-0.00022409941337814412,0.0714370490149206,0.02923891795170794,0.6750818638639179,0.320249666606494,0.18489819859181073,0.024058208374653573,0.22708809520409587,-0.22780712069107475,-0.07608499603422426,-0.2622135388420187,0.05401390182036244,0.021232920724797776,0.13957543065055344,-0.0648293238783587,0.1604119531755818,0.22192722741195245,0.18487830857859663,-0.05112643962720441,-0.19877210596903158,-0.1511838840006579,-0.08080913707126638,-0.18438298964761546,-0.08220524233238986,-0.009126146229155009,0.0012247579167363634
PHYSHLTH,0.0052762126191116905,-0.004441702718737651,0.50336499634649,1.0,0.3936818083121171,0.6933660418055769,-0.041798780999470604,-0.02784556360976385,-0.03440652862106363,-0.04157286173290292,-0.01148644922358053,-0.04970771289547154,-0.04513584425373983,-0.042285198606887536,-0.10525901425090362,-0.07258646124050801,-0.16374283711424822,-0.14051719353168643,-0.007729199504350023,0.029402537210018787,0.30083070226940484,0.008033785361644131,-0.0741801543693595,-0.09329945475663162,-0.29182498475363,-0.05270021764344939,0.1930135230972522,0.10809296287281102,-0.06859801649265275,0.012176166747401644,-0.07940327325076395,0.1866400206526147,0.008014426904980523,0.011201167571504385,-0.03389488813981369,-0.03923579035968593,-0.07155244758054541,-0.06519734692887638,0.03472041281390918,-0.07308244664808579,0.03015784053874847,0.04855159710718432,-0.08107196869747688,0.02336053615984914,0.0013806832337360843,0.10248984695232238,0.10728683851293565,-0.0949564928402926,-0.07753915267427755,-0.16875348496467651,-0.06996268667772476,0.2027387480867285,0.04454804202625583,0.05195854317183987,-0.06277397808897776,0.012609726729541514,0.10027424106632146,-0.00783857424957179,-0.13116868568053627,0.1051644448131842,0.009869160882756297,0.04321211221595855,0.02727892522951078,0.3968723705366979,0.9084638148878391,0.1328723169737751,0.013782924786924979,0.2450560550444248,-0.18280531246622714,-0.050607753060539676,-0.24402790009399214,0.01571485773051397,0.008100328786372561,0.20454232762859398,-0.04309086386334767,0.06060238644156269,0.08912455087394679,0.06081208532166888,-0.06634600528677309,-0.16782275859059748,-0.12356274771734178,-0.07232696627596896,-0.17877882169710704,-0.04076356341325881,0.005864792443123681,0.014459556011338429
MENTHLTH,0.004136378945731698,-0.002007342117355811,0.31196815060353306,0.3936818083121171,1.0,0.5340217467246342,-0.10972646263224159,0.05376475826105462,-0.11549476774825493,-0.013772202916287675,0.008217416074876607,-0.01691533840500176,-0.05786972287192707,-0.02537217137905115,-0.05768273292273475,-0.1834548436290358,-0.07040583652649104,-0.06261991571365765,0.08708749102451341,0.0937741651185585,0.12938324864557582,0.021030913666678093,-0.05465424361221763,-0.1719788208239959,-0.1398139346631451,-0.07312918493796428,0.05227504269833462,0.059115546908451305,-0.04007513308119206,0.0035129395429473556,-0.037854596158539366,0.20841305211959538,0.09733330128890497,-0.020058442219828714,-0.03623761229516093,-0.03850449229849998,0.02472050211771554,-0.03461712763841199,0.03661287357870715,-0.020745366368463355,0.030373547149953946,0.08316439040819813,-0.05936325230923334,0.04989270845202428,-0.0608767133092263,0.08305621724945222,0.07873622265341375,-0.10242494689669464,-0.08304976955721956,-0.11108212758730795,-0.04892897867001357,0.14786089111843093,0.05913943675353368,-0.06064030172103197,-0.04467372058429491,-0.02219560484167286,0.09844373708981097,-0.023974197422416667,-0.43959087822921117,0.17777204617994966,-0.02417658777911992,0.02509478811307557,0.017118726389446677,0.24517675127981378,0.19368943941034927,0.8908214451785466,0.029426272174749524,0.1595022813732339,-0.08830559621416652,-0.05492227155456923,-0.11317970337747309,0.04005708305670015,0.014515527804314898,-0.017574011124232566,-0.02963824689552192,0.05990625271605014,0.08112056744363286,0.056751250809702565,-0.00318408308505064,-0.1688804831625697,-0.11502650444343135,-0.08375800911475947,-0.1617262467357518,-0.02353906622817699,0.014833144933426216,0.02775472841187535
POORHLTH,-0.00046951827255841045,-0.0046521687262190215,0.46120697175935166,0.6933660418055769,0.5340217467246342,1.0,-0.05307670964124815,-0.02135970027387721,-0.03727189373023541,-0.035030656436920805,-0.007026673908068273,-0.047369210216367294,-0.04790304937378927,-0.03790069484950206,-0.10344488227453973,-0.08432372486105912,-0.15860704476612855,-0.13889814021311742,-0.009021055204853478,0.030918485057711744,0.3521104281735511,0.02973250011918449,-0.07654441290600453,-0.1279977469698747,-0.2972836043811822,-0.052018263215284494,0.20360735527015716,0.11078495975441639,-0.06579501539557651,0.01706224711220688,-0.07060304738517803,0.22621606409038417,0.024418709652397393,0.015862380115631933,-0.03216937628805326,-0.025665578476204202,-0.07182135707164593,-0.059238555836801474,0.030554675679627524,-0.0967323205798669,0.035887927169439074,0.06223299756019845,-0.08394975694318398,0.034398662129327844,-0.012993457024635663,0.12086643766233936,0.12898255200040407,-0.08307766483231378,-0.03620943067640786,-0.2065105053984657,-0.07835337060974754,0.1879805744351623,0.05812393013482717,0.05445199392613643,-0.07143172537690914,0.010502298858588591,0.10616039202880453,-0.015033380050181847,-0.19495360451637164,0.1253293452140057,0.0006131088788277502,0.01956407206870699,0.037569756689590575,0.35760629606153665,0.3066443184494248,0.1772672098012415,0.02345008271717309,0.27882023056325894,-0.18570724803905594,-0.051474777669500975,-0.2386959206784122,0.0021483677050540585,-0.005121160855056253,0.20337386253971648,-0.033249315064189454,0.07329497799548326,0.0965401520365175,0.06945925957932399,-0.056270175757273076,-0.18569148798404975,-0.13496112488512363,-0.07978058657850058,-0.19326137249939318,-0.03143513355951995,0.014686546419327809,0.024679621247991966
MEDCOST1,-0.0011906083498148833,-0.004636839875842358,-0.06197054975014666,-0.041798780999470604,-0.10972646263224159,-0.05307670964124815,1.0,-0.0283697113058772,0.05555627027999928,0.046623368090872495,0.044184206169667985,0.06117857938432977,0.07059688468481076,-0.0025613812190255197,0.06039607449574161,0.09284081972255571,0.030401155951383377,0.017987884841085728,-0.04164450304803364,-0.009309109594062533,0.04657659642167826,0.051334905138376435,0.07929720264888335,0.09544868345213332,0.0687905388909974,0.015499373431636381,0.03215248358617668,0.01781742737840695,0.03149074167244054,0.018464035688291212,0.012227124977426593,-0.02793009364869494,-0.0581204615709359,0.05243132878246052,0.04372371565084061,0.03175965435235298,-0.029956078948982483,0.03626733251713428,-0.009888807554209749,0.01403302549829612,-0.03301076351056909,-0.05755966800233974,0.04432621384272029,0.005475719074190885,0.06274553757552043,0.0007689002018928939,0.0071827458927408465,0.07875917398143378,0.07846616949196854,0.08981173570465982,0.04309250747578582,0.004599801475580967,-0.016613657963285042,0.09326192796059932,0.004253172558945776,0.056723602614629914,0.002616817616674361,0.018691645633979685,0.1461453809054682,-0.05633145784812668,0.015999440778114597,-0.0567788145184468,-0.006320080065537731,-0.01446305107243611,-0.011319196083114214,-0.038306090669311524,0.023319674574858132,0.034153024846884386,0.001088892473475401,0.04451474340049955,-0.0020506029485557733,-0.06318759014918642,-0.018273424787619317,0.09422528654627609,0.011734485033646517,-0.014916805632841267,-0.028287101004555327,-0.015705544434784776,-0.006497726848834667,0.06819750899048423,0.08608284471421773,0.03859469153128979,0.03479112197247033,-0.0032553075744638916,0.014683772841021393,0.01141904155607805
CHECKUP1,-0.0016304672379220662,-0.008038809935610623,-0.0308850735922548,-0.02784556360976385,0.05376475826105462,-0.02135970027387721,-0.0283697113058772,1.0,-0.038107388314622154,0.05708265940626659,0.04380047249276016,0.055439544363269505,0.04319996624933388,0.08366082035288587,0.057116333122240556,0.04962192777279887,0.12554931558653684,0.10887473406551787,0.1211721690488988,0.10244927453271771,-0.12159022868706766,0.03994312295546591,0.033912565802333455,0.022964338860114262,0.06815816525371401,-0.023524318526976156,-0.10065917501307035,-0.029710270378547343,0.0610854244530121,0.01867200065224653,0.09178184868831413,0.08290506015301878,0.14141227855526034,0.03403589835330966,0.003368894502521071,0.03421559814239838,0.36287275704482985,0.09631492477559848,0.058209920432620146,0.010761742827084623,0.010778801170097434,0.1032080653218433,-0.00759774665582422,0.12945414382374282,-0.11730480534016342,0.014351914826966693,0.011970885704548923,0.013976631197972588,0.02538463707179664,0.06747392180573611,0.03688228592089844,-0.06075201104423329,0.017665259547688533,-0.060087995390048346,0.008144065136741799,0.04075574517954441,0.018749396881593168,-0.0004222536661903428,-0.040598743941632015,0.060777748062064145,-0.0016524156953717868,0.06274814942439198,0.02972066929814114,0.012810757266895477,-0.003408851059614193,0.04721028743740813,0.09019797584396251,0.02910993777156659,0.06942650465963639,0.0465051950232286,0.13778777460563682,0.06474696405339903,-0.09346142297410037,-0.20428470540649013,0.07572759378185222,-0.014087403770890374,-0.05238170439722222,-0.05576505856823635,0.0729834551501165,-0.05117599022100428,0.007786186170538986,-0.0072367604773711175,-0.01312012137052177,0.04474518509261889,0.022540532348344838,0.029704191800402638
SLEPTIM1,0.0006817446100923874,-0.004306634635644165,-0.06379808985888173,-0.03440652862106363,-0.11549476774825493,-0.03727189373023541,0.05555627027999928,-0.038107388314622154,1.0,-0.00371333230051515,-0.002171781742418653,-0.007197883382134115,0.0338442983142091,0.003036623365981536,0.008544549073594627,0.02586559658050427,0.00867223892728127,-0.008826917266562201,-0.02812700725502973,-0.024213407326108657,0.10399473535781018,-0.004331181284078185,0.013334288833794039,0.028845414541012037,0.014666657662837349,0.037903015897717426,0.0604967085969141,0.006254823758985927,0.01024192762841732,0.01771588296160637,0.015013083704474,-0.0379370259182099,-0.06334457285648995,0.03387543430679773,0.029227229026202242,0.01671576146648893,-0.018902017021278052,0.013678379306451811,0.0115056809518449,-0.015262862422044284,0.010220266920939034,-0.012718538754583933,0.03633065770961772,-0.014091131662700882,0.03784991590637179,0.0317512731839031,0.03689860576833822,0.01714790928137523,-0.005921518531807709,0.018049306627796666,-0.0006391052617360462,0.02995579978334962,0.01305956427600692,0.09839745603703409,0.001698139009242404,0.020062521366204695,-0.01734063165493186,0.004929227305091305,0.19443013493614408,-0.04296629973237064,0.0064378008303470746,0.013002832406619737,0.009865714683824585,-0.03848245559679325,-0.0306744584341928,-0.07664457086694962,0.010043237802903428,0.001553486537151217,-0.007519097034024224,0.028771430981433987,0.01307158009679932,-0.04646186466755125,0.018113272981142698,0.09892944561596112,-0.014144293733598868,-0.053521282417923075,-0.05080531977200796,-0.04674890157459657,-0.05014831099589754,0.01477159388557646,0.023135282658753514,0.027162797881617465,0.03250033870802939,0.0016422314307902818,0.003497721815066414,1.5333115391322816e-07
CVDINFR4,-0.006394298844341933,0.0026485118950234005,-0.03008490578813659,-0.04157286173290292,-0.013772202916287675,-0.035030656436920805,0.046623368090872495,0.05708265940626659,-0.00371333230051515,1.0,0.23865966232734537,0.23155998223376673,0.1261005214651256,0.01984798593363726,0.1609045933146303,0.11433801304824621,0.12470875111934702,0.10994612191953078,0.04175206867844834,0.058837585482327696,-0.035104884253651276,0.0999794091550318,0.07355399333558918,0.06101618673954532,0.08496010395362606,0.010382053884976188,-0.06505768343749417,-0.03960928799302621,0.059322794729658644,0.016627503230493997,0.008056702347726215,-0.004114584935966213,0.018185785651845636,0.045918365731281406,0.009821860660744617,0.012711587856878433,0.04505895089355729,0.07172565240037203,0.020046539055466234,0.04941132349246297,0.0006434522869549861,0.007942607454438607,0.029844582023034836,0.04846182295864815,-0.01735530698528536,0.00324284484666405,-0.003828652179611094,0.023206137424659257,0.022515979906308704,0.0460917479316827,0.0490078724313617,-0.05163146451333487,-0.012647240900017813,-0.0077867037364404606,-0.004599956638494956,0.04486934023359646,0.002967365615950162,0.00617352654072567,0.003592700099581446,0.013822490053202784,0.007030936159093609,0.010837156971995505,-0.013581895363994173,0.003713063860864356,0.011323220581316887,0.029709399663311355,0.042503434243224975,0.030436259006399076,0.5965622297901463,0.07485208325287228,0.045407552852217994,0.02650867910067593,0.021015516807788057,-0.06130179989133721,-0.017446831236520518,-0.02045464661431597,-0.012297488263559662,-0.01635451679088859,0.04430908659874085,0.026256099404390446,0.03811727690701353,0.03856846605676331,0.04393650740721719,-0.002063713094020479,0.029322774216434516,0.0305667297111006
